order_date,total_sales,year,month,day,day_of_week,day_of_year,week_of_year,quarter,is_weekend,is_month_start,is_month_end,is_holiday_season,total_sales_lag_1,total_sales_lag_7,total_sales_lag_14,total_sales_lag_30,total_sales_roll_mean_7,total_sales_roll_std_7,total_sales_roll_mean_30,total_sales_roll_std_30
2015-02-02,211.646,2015,2,2,0,33,6,1,0,0,0,0,468.9,1097.25,378.594,16.448,361.1305714285714,373.11915808887653,346.0543833333333,646.2140577584299
2015-02-03,97.112,2015,2,3,1,34,6,1,0,0,0,0,211.646,426.67,1907.281,288.06,234.6157142857142,184.27298464842258,352.56098333333335,643.7589186570208
2015-02-04,134.384,2015,2,4,2,35,6,1,0,0,0,0,97.112,3.928,0.0,19.536,187.53599999999992,168.44688753827725,346.19604999999996,645.3606115725127
2015-02-05,0.0,2015,2,5,3,36,6,1,0,0,0,0,134.384,0.0,0.0,1969.2615000000003,206.1725714285714,151.06737371435327,350.02431666666666,643.6945392941798
2015-02-06,330.512,2015,2,6,4,37,6,1,0,0,0,0,0.0,240.5,40.08,87.15799999999999,206.1725714285714,151.06737371435327,284.3822666666666,568.9451443807902
2015-02-07,180.32,2015,2,7,5,38,6,1,1,0,0,0,330.512,290.666,0.0,0.0,219.0314285714285,158.1415916732599,292.4940666666667,567.7698430027565
2015-02-08,14.56,2015,2,8,6,39,6,1,1,0,0,0,180.32,468.9,0.0,40.544,203.26771428571422,155.28478041082386,298.5047333333333,565.5165976058091
2015-02-09,0.0,2015,2,9,0,40,7,1,0,0,0,0,14.56,211.646,1097.25,54.83,138.36199999999994,115.64385424800157,297.63860000000005,565.9450445143215
2015-02-10,0.0,2015,2,10,1,41,7,1,0,0,0,0,0.0,97.112,426.67,9.94,108.12685714285708,120.84105089941866,295.81093333333337,566.8440312732105
2015-02-11,1287.8205,2015,2,11,2,42,7,1,0,0,0,0,0.0,134.384,3.928,0.0,94.25371428571422,127.69638405440904,295.4796,567.0197692294396
2015-02-12,129.568,2015,2,12,3,43,7,1,0,0,0,0,1287.8205,0.0,0.0,2465.2470000000003,259.0303571428571,470.95117172826514,338.40695,592.0735243447148
2015-02-13,0.0,2015,2,13,4,44,7,1,0,0,0,0,129.568,330.512,240.5,61.96,277.54007142857137,461.5256486639741,260.5509833333333,435.66434608554584
2015-02-14,576.726,2015,2,14,5,45,7,1,1,0,0,0,0.0,180.32,290.666,149.95,230.3240714285714,471.9909175835577,258.48564999999996,436.7836882475784
2015-02-15,21.36,2015,2,15,6,46,7,1,1,0,0,0,576.726,14.56,468.9,299.964,286.95349999999996,488.4837427155753,272.7115166666666,440.0644699567147
2015-02-16,9.04,2015,2,16,0,47,8,1,0,0,0,0,21.36,0.0,211.646,0.0,287.9249285714285,487.8581221472442,263.42471666666665,442.403035987815
2015-02-17,54.208,2015,2,17,1,48,8,1,0,0,0,0,9.04,0.0,97.112,64.864,289.2163571428571,486.9800900186364,263.72605,442.2204638177025
2015-02-18,37.784,2015,2,18,2,49,8,1,0,0,0,0,54.208,1287.8205,134.384,378.594,296.96035714285705,482.02017391795187,263.37084999999996,442.38994864842687
2015-02-19,0.0,2015,2,19,3,50,8,1,0,0,0,0,37.784,129.568,0.0,1907.281,118.3837142857142,206.64056078265745,252.01051666666666,443.7030099718085
2015-02-20,95.59,2015,2,20,4,51,8,1,0,0,0,0,0.0,0.0,330.512,0.0,99.87399999999992,211.22392425417405,188.43448333333333,316.8612248052408
2015-02-21,8.85,2015,2,21,5,52,8,1,1,0,0,0,95.59,576.726,180.32,0.0,113.52971428571422,206.73310657118068,191.62081666666663,315.3781528600034
2015-02-22,19.44,2015,2,22,6,53,8,1,1,0,0,0,8.85,21.36,14.56,40.08,32.404571428571366,33.58939806375578,191.91581666666664,315.19681990317946
2015-02-23,11.364,2015,2,23,0,54,9,1,0,0,0,0,19.44,9.04,0.0,0.0,32.13028571428565,33.702267231911186,191.22781666666663,315.56198444762896
2015-02-24,55.672,2015,2,24,1,55,9,1,0,0,0,0,11.364,54.208,0.0,0.0,32.46228571428565,33.4473782216856,191.60661666666664,315.33125575489674
2015-02-25,0.0,2015,2,25,2,56,9,1,0,0,0,0,55.672,37.784,1287.8205,1097.25,32.67142857142851,33.61019493574492,193.46234999999996,314.32697871498215
2015-02-26,0.0,2015,2,26,3,57,9,1,0,0,0,0,0.0,0.0,129.568,426.67,27.27371428571422,35.625851670350585,156.88734999999997,265.596640163599
2015-02-27,19.456,2015,2,27,4,58,9,1,0,0,0,0,0.0,95.59,0.0,3.928,27.27371428571422,35.625851670350585,142.66501666666665,262.0521402517553
2015-02-28,0.0,2015,2,28,5,59,9,1,1,0,1,0,19.456,8.85,576.726,0.0,16.397428571428506,19.066351117927837,143.18261666666663,261.78385838431825
2015-03-01,2069.6755000000003,2015,3,1,6,60,9,1,1,1,0,0,0.0,19.44,21.36,240.5,15.133142857142792,19.92434660934333,143.18261666666663,261.78385838431825
2015-03-02,47.76,2015,3,2,0,61,10,1,0,0,0,0,2069.6755000000003,11.364,9.04,290.666,308.0239285714286,777.0684803915518,204.1551333333333,438.56221158902986
2015-03-03,1220.1805,2015,3,3,1,62,10,1,0,0,0,0,47.76,55.672,54.208,468.9,313.2233571428572,774.8713334269714,196.05826666666664,439.1518518205986
2015-03-04,370.452,2015,3,4,2,63,10,1,0,0,0,0,1220.1805,0.0,37.784,211.646,479.5817142857143,833.1732849649712,221.10094999999998,475.18946411857576
2015-03-05,705.562,2015,3,5,3,64,10,1,0,0,0,0,370.452,0.0,0.0,97.112,532.5034285714286,809.0500659866702,226.3944833333333,475.9644101687662
2015-03-06,0.0,2015,3,6,4,65,10,1,0,0,0,0,705.562,19.456,95.59,134.384,633.298,774.8811310922144,246.67614999999998,483.17443987546375
2015-03-07,1561.062,2015,3,7,5,66,10,1,1,0,0,0,0.0,0.0,8.85,0.0,630.5185714285715,777.4804266790486,242.1966833333333,484.87133979554727
2015-03-08,0.0,2015,3,8,6,67,10,1,1,0,0,0,1561.062,2069.6755000000003,19.44,330.512,853.5274285714285,790.2617324032813,294.2320833333333,538.7540630454852
2015-03-09,0.0,2015,3,9,0,68,11,1,0,0,0,0,0.0,47.76,11.364,180.32,557.8594999999999,630.428148957846,283.21501666666666,541.3596321002474
2015-03-10,606.1885000000001,2015,3,10,1,69,11,1,0,0,0,0,0.0,1220.1805,55.672,14.56,551.0366428571427,637.0920613973768,277.20435,543.5381154214479
2015-03-11,830.9845,2015,3,11,2,70,11,1,0,0,0,0,606.1885000000001,370.452,0.0,0.0,463.3234999999999,568.1476958735432,296.9253,544.4123008079224
2015-03-12,0.0,2015,3,12,3,71,11,1,0,0,0,0,830.9845,705.562,0.0,0.0,529.1138571428571,582.0941681716046,324.62478333333337,549.8963726474803
2015-03-13,0.0,2015,3,13,4,72,11,1,0,0,0,0,0.0,0.0,19.456,1287.8205,428.3192857142857,607.0025303369728,324.62478333333337,549.8963726474803
2015-03-14,1395.0010000000002,2015,3,14,5,73,11,1,1,0,0,0,0.0,1561.062,0.0,129.568,428.3192857142857,607.0025303369728,281.6974333333334,521.6534435177335
2015-03-15,370.782,2015,3,15,6,74,11,1,1,0,0,0,1395.0010000000002,0.0,2069.6755000000003,0.0,404.5962857142857,556.4980452012576,323.87853333333334,558.7693142548883
2015-03-16,471.92,2015,3,16,0,75,12,1,0,0,0,0,370.782,0.0,47.76,576.726,457.56514285714286,528.5113998443103,336.2379333333333,555.4492198092325
2015-03-17,2197.0495,2015,3,17,1,76,12,1,0,0,0,0,471.92,606.1885000000001,1220.1805,21.36,524.9822857142857,489.0416653178142,332.7444,554.2127130401753
2015-03-18,2815.6505000000006,2015,3,18,2,77,12,1,0,0,0,0,2197.0495,830.9845,370.452,9.04,752.2481428571429,802.354497047217,405.26738333333327,646.6968051392171
2015-03-19,590.762,2015,3,19,3,78,12,1,0,0,0,0,2815.6505000000006,0.0,705.562,54.208,1035.7718571428572,1121.856083400879,498.82106666666664,777.2335524239352
2015-03-20,0.0,2015,3,20,4,79,12,1,0,0,0,0,590.762,0.0,0.0,37.784,1120.1664285714287,1050.929727929847,516.7062000000001,772.810452554189
2015-03-21,1110.5265000000002,2015,3,21,5,80,12,1,1,0,0,0,0.0,1395.0010000000002,1561.062,0.0,1120.1664285714287,1050.929727929847,515.4467333333333,773.6482116772403
2015-03-22,464.093,2015,3,22,6,81,12,1,1,0,0,0,1110.5265000000002,370.782,0.0,95.59,1079.5272142857143,1044.0081277370743,552.4642833333332,774.7021837357298
2015-03-23,840.9525000000001,2015,3,23,0,82,13,1,0,0,0,0,464.093,471.92,0.0,8.85,1092.8573571428574,1033.9981841591775,564.7477166666666,770.1161941433958
2015-03-24,65.38,2015,3,24,1,83,13,1,0,0,0,0,840.9525000000001,2197.0495,606.1885000000001,19.44,1145.5762857142859,1006.0940418780799,592.4844666666667,764.3675910662328
2015-03-25,459.146,2015,3,25,2,84,13,1,0,0,0,0,65.38,2815.6505000000006,830.9845,11.364,841.0520714285715,956.1584982210248,594.0158,763.225131120626
2015-03-26,145.13,2015,3,26,3,85,13,1,0,0,0,0,459.146,590.762,0.0,55.672,504.40857142857146,395.5893942278218,608.9418666666667,755.7797649784026
2015-03-27,0.0,2015,3,27,4,86,13,1,0,0,0,0,145.13,0.0,0.0,0.0,440.74685714285715,414.76907092066557,611.9238000000001,753.6951658073754
2015-03-28,809.1365000000001,2015,3,28,5,87,13,1,1,0,0,0,0.0,1110.5265000000002,1395.0010000000002,0.0,440.74685714285715,414.76907092066557,611.9238000000001,753.6951658073754
2015-03-29,500.6405000000001,2015,3,29,6,88,13,1,1,0,0,0,809.1365000000001,464.093,370.782,19.456,397.6911428571429,343.10588511525907,638.8950166666667,745.4749562633913
2015-03-30,1170.322,2015,3,30,0,89,14,1,0,0,0,0,500.6405000000001,840.9525000000001,471.92,0.0,402.91221428571436,344.5597279622271,654.9345,736.8138787889148
2015-03-31,1161.7770000000005,2015,3,31,1,90,14,1,0,0,1,0,1170.322,65.38,2197.0495,2069.6755000000003,449.96500000000003,426.9795411955736,693.9452333333334,731.9076638510435
2015-04-01,119.888,2015,4,1,2,91,14,2,0,1,0,0,1161.7770000000005,459.146,2815.6505000000006,47.76,606.5931428571429,462.04495574427125,663.68195,690.6701600481999
